DATE,AvgTone
20231205,-2.0167231539233526
20231206,-2.0531396310001933
20231207,-2.0608971476789875
20231208,-2.072732001785269
20231209,-2.2762399307408123
20231210,-2.3768390301256668
20231211,-1.9198678708798584
20231212,-1.9762354930592871
20231213,-1.8870653163696496
20231214,-1.9185989138967336
20231215,-1.9694589388011363
20231216,-2.1474463979620264
20231217,-2.30341340851563
20231218,-2.067699158543349
20231219,-2.06790987362296
20231220,-2.0854827416476365
20231220,-2.0854827416476365
20231221,-2.229968073479774
20231222,-2.2011611708227314
20231223,-2.3008985315488166
20231224,-2.15577202572104
20231225,-1.8927403399070861
20231226,-2.292738992890567
20231227,-2.2785042700485967
20231228,-2.369396229934279
20231229,-2.5086030898990983
20231230,-2.5495163990134118
20231231,-2.570018179779419
20240101,-2.177194479153936
20240102,-2.3967343973544883
20240103,-2.7193279399682675
20240104,-2.739501160727688
20200628,-2.4322213623998015
20200629,-2.3334628714931407
20200630,-2.208324229159574
20200701,-2.108111212643618
20200702,-2.2253150153937957
20200703,-2.390383498273327
20200704,-2.392895178675752
20200705,-2.3481029243247944
20200706,-2.3240016812728497
20200707,-2.355061241433554
20200708,-2.312458548313854
20200709,-2.262864540187293
20200710,-2.3313846740739574
20200711,-2.5548880008195636
20200712,-2.528192719094757
20200713,-2.409066870191802
